erklaeren_f1	So 	erklärtkeywordtag 	etwa Edward Brandon von dem Unternehmen National City in Ohio 
erklaeren_f1	Noch vor kurzem hatte erkeywordtag auch Militäraktionen zum Schutz von Russen für möglich 	erklärtkeywordtag 	
erklaeren_f1	Der neue Regierungschef hat die Sanierung der Staatsfinanzen zum wichtigsten Ziel seiner Regierungsarbeit 	erklärtkeywordtag 	
erklaeren_f1	Der Führer der Rebellenbewegung Renamo Afonso Dhlakama 	erklärtekeywordtag 	sich in der botswanischen Hauptstadt Gabarone zum sofortigen Waffenstillstand bereitkeywordtag 
erklaeren_f1	Aus welchem Land sage ich nicht '' 	erklärtekeywordtag 	Margot Honecker der Zeitung 
erklaeren_f1	Auch die Regierung 	erklärtekeywordtag 	zudem ihre Entschlossenheit die Stabilität der Landeswährung Lira zu sichern da ein stabiler Wechselkurs im Kampf gegen die Inflation ein wesentlicher Faktor sei 
erklaeren_f1	Man werde vor den westlichen Führern nicht in die Knie gehen 	erklärtekeywordtag 	Jelzinkeywordtag vor seinen für Mittwoch geplanten Gesprächen in München 
erklaeren_f1	Frieder Otto Wolf von der Osteuropa-Initiative Eurocom prangerte die `` intellektuelle Unredlichkeit '' der `` falschen Versprechungen '' durch die westlichen Politiker an diekeywordtag Sozialabbau und Schließung ganzer Industrien in Osteuropa als `` unvermeidlich '' 	erklärtenkeywordtag 	
erklaeren_f1	Frieder Otto Wolf von der Osteuropa-Initiative Eurocom prangerte die `` intellektuelle Unredlichkeit der `` falschen Versprechungen durch die westlichen Politiker an diekeywordtag Sozialabbau und Schließung ganzer Industrien in Osteuropa als `` unvermeidlich 	erklärtenkeywordtag 	
erklaeren_f1	Am Dienstag hatte Collorkeywordtag noch im Fernsehen 	erklärtkeywordtag 	er habe 1990 nach seinem Wahlsieg alle Kontakte zu Farias abgebrochen 
erklaeren_f1	Panic dessen Staat der Ausschluß droht 	erklärtekeywordtag 	in seinem am Montag den Delegationen zugeleiteten Schreiben 
erklaeren_f1	Nach Berichten der Lissabonner Presse vom Montag 	erklärtekeywordtag 	der 78jährige am Vortag vor Parteimitgliedern in Sao Paio de Merelim in Nordportugal er werde im kommenden Herbst auf dem XIV. Parteitag zurücktreten 
erklaeren_f1	Die `` Schwierigkeiten und Spannungen '' würden wachsen 	erklärtekeywordtag 	Castrokeywordtag dem Artikel zufolge 
erklaeren_f1	Finanzminister Theo Waigel CSU hatte zuvor im Deutschlandfunk 	erklärtkeywordtag 	niemand könne sagen wie sich in den nächsten Jahren jede einzelne Steuer entwickle 
erklaeren_f1	Süssmuthkeywordtag 	erklärtekeywordtag 	zu der Unterschriftenaktion daß sachliche Überprüfung statt überzogener und pauschalierender Kritik notwendig sei 
erklaeren_f1	Diesekeywordtag waren von der irakischen Führung für illegal 	erklärtkeywordtag 	worden 
erklaeren_f1	Atomtestgebiete in Kasachstan zur Katastrophenregion 	erklärtkeywordtag 	
erklaeren_f1	Kasachstankeywordtag hat die Umgebung von Atomtestgeländen der früheren Sowjetunion auf seinem Territorium zu ökologischen Katastrophengebieten 	erklärtkeywordtag 	
erklaeren_f1	Zur Hauptstadt wurde das in langen Kampfhandlungen weitgehend zerstörte Mostar 	erklärtkeywordtag 	
erklaeren_f1	Rühekeywordtag 	erklärtkeywordtag 	britischem Kollegen deutschen Rückzieher 
erklaeren_f1	Und dazu waren am Wochenende neue Aktionen der Bauern gekommen die sich mit den LKw-Fahrern solidarisch 	erklärtenkeywordtag 	in der Hoffnung ihrer eingeschlafenen Protestbewegung gegen die Agrarpolitik der EG neuen Auftrieb zu geben 
erklaeren_f1	`` Die Regierung weicht nicht zurück '' hatte ein sichtlich ratloser Premierminister Pierre Bérégovoy am Sonntag in mehreren Interviews 	erklärtkeywordtag 	
erklaeren_f1	Ein Regierungsvertreter habe 	erklärtkeywordtag 	daß die USA in die Putschpläne verwickelt seien 
erklaeren_f1	Schnarrenbergerkeywordtag 	erklärtekeywordtag 	ferner gegen die derzeitige deutsche Luftbrücke nach Sarajewo bestünden keine verfassungsrechtlichen Bedenken 
erklaeren_f1	Der irakische Geschäftsträger bei der UN Samir el Nima hatte am Montag jedoch 	erklärtkeywordtag 	das Landwirtschaftsministerium falle als zivile Einrichtung nicht unter die in den Bedingungen des Waffenstillstands genannten Institutionen 
erklaeren_f1	Ein Kommissionsbericht werde bis Jahresende erwartet 	erklärtekeywordtag 	die CDU-Politikerin 
erklaeren_f1	Bundesbauministerin Irmgard Schwaetzer FDP 	erklärtekeywordtag 	dazukeywordtag die vorgesehenen dirigistischen Eingriffe seien der Tod des freifinanzierten Wohnungsbaus der sich gerade in den vergangenen Jahren kräftig erholt habe 
erklaeren_f1	Am Montag hatte der Führer des neuen Kroaten-Staates Mate Boban 	erklärtkeywordtag 	die Souveränität Bosnien-Herzegowinas werde nicht eingeschränkt 
erklaeren_f1	Die Portugiesen hätten in einer schwierigen Zeit wesentliche Fortschritte erzielt besonders im Bereich des Binnenmarktes 	erklärtekeywordtag 	EG-Kommissar Martin Bangemann am Dienstag vor dem Europaparlament in Straßburg 
erklaeren_f1	Das Außenministerium in Paris 	erklärtekeywordtag 	die Frau des französischen Präsidenten sei privat auf Beschluß ihrer Stiftung France Libertes in Irak gewesen 
erklaeren_f1	`` Frankreich ist der Ansicht daß es das Klima in dieser schwierigen Region nicht zusätzlich stören sollte indem es die Forderung der Kurden nach der Schaffung eines Staates ermutigt der nicht den Umständen entspricht '' hatte Mitterrandkeywordtag 	erklärtkeywordtag 	
erklaeren_f1	Waldheimkeywordtag war dort zur `` unerwünschten Person '' 	erklärtkeywordtag 	worden 
erklaeren_f1	Zwickelkeywordtag hatte auf dem Gewerkschaftstag 	erklärtkeywordtag 	seine Organisation sei bereit in Westdeutschland 1997 niedrigere Einstiegslöhne für Langzeitarbeitslose hinzunehmen und sich mit einem Einkommenszuwachs in Höhe der Inflationsrate zufriedenzugeben 
erklaeren_f1	Dort 	erklärtekeywordtag 	der serbische Delegationsleiter Milan Milanovic seine Abordnung wolle zunächst intern über die Vorschläge beraten die Stoltenberg und Galbraith überbracht hätten 
erklaeren_f1	Das überraschende Aufholen Walesas 	erklärtkeywordtag 	sich Beobachtern zufolge aus der Unsicherheit vieler Wähler 
erklaeren_f1	Dieskeywordtag 	erklärtenkeywordtag 	die SPD-Mitglieder in der Berliner CDU/SPD-Regierung mit Ausnahme von Wirtschaftssenator Norbert Meisner nach einer Beratung am Sonntag 
erklaeren_f1	Der Oberste Gerichtshof Rußlands hat den Ausschluß des oppositionellen Jabloko-Blocks von den Parlamentswahlen am Samstag für unrechtmäßig 	erklärtkeywordtag 	
erklaeren_f1	Nach einem Gespräch mit dem im Krankenhaus liegenden Jelzin hatte Tschernomyrdinkeywordtag am Freitag 	erklärtkeywordtag 	er werde künftig die Aktivitäten der Minister der Schlüsselressorts Verteidigung Inneres und Geheimdienste koordinieren 
erklaeren_f1	Bundeskanzler Helmut Kohl 	erklärtekeywordtag 	der feige Mord habe einen Mann getroffen der durch großen Mut und vollen Einsatz seiner Persönlichkeit den Frieden im Nahen Osten erreichen wollte 
erklaeren_f1	Mit diesem Beitritt so 	erklärtkeywordtag 	erkeywordtag sich sein Schicksal begannen die Probleme 
erklaeren_f2	`` Wenn wirkeywordtag tief Luft holen um ihnenkeywordtag zu erklären was sie alles brauchen haben die bereits den Rückwärtsgang eingelegt '' weiß Nickel 
erklaeren_f1	Den ersten Fall kann mankeywordtag wohl nur mit einem völligen Mißverständnis dessen was Deeskalation bedeutet 	erklärenkeywordtag 	
erklaeren_f1	Wenn die Unternehmen der Metallverarbeitung garantieren in den nächsten drei Jahren auf betriebsbedingte Kündigungen zu verzichten 300 000 zusätzliche Arbeitsplätze zu schaffen außerdem 30 000 Langzeitarbeitslose einzustellen sowie die Ausbildungsplätze um jährlich 5 Prozent zu steigern und wenn die Bundesregierung verbindlich 	erklärtkeywordtag 	bei der Novellierung des Arbeitsförderungsgesetzes auf die Kürzung des Arbeitslosengeldes und der Arbeitslosenhilfe zu verzichten und die Sozialhilfekriterien nicht zu verschlechtern eine Regelung zur Gewährleistung des Ausbildungsplatzangebotes entsprechend der Nachfrage zu schaffen Betriebe die nicht oder zuwenig ausbilden zum Lastenausgleich heranzuziehen dann werde ich mich dafür einsetzen in 1997 Einkommenssteigerungen zu vereinbaren die sich am Ausgleich der Preissteigerung orientieren und befristete Einarbeitungsabschläge für Langzeitarbeitslose zu ermöglichen 
erklaeren_f1	Die Realität das heißt abweichende Regelungen zu einigen tariflichen Bestimmungen in einer größeren Zahl vor allem mittlerer und kleinerer Betriebe ist doch ursächlich nicht damit zu erklären daß wir dort schlechtere Betriebsräte hätten oder in diesen Betrieben unsere Funktionäre die Grundsätze und Prinzipien unserer Organisation verraten würden 
erklaeren_f2	`` Da müssen schon mal zehn Jahre prognostisch überbrückt werden ehe man sich wenigstens ein Bild von der Gegenwart machen kann auf das sich dann die mittelfristige Projektion stützen muß '' 	erklärtkeywordtag 	Ifo-Forscher Josef Körner der dem Arbeitskreis Steuerschätzung angehört die reichlich späte Entdeckung neuer Milliardenlöcher 
erklaeren_f1	Man wolle die Straße nicht einfach den Demonstranten der Opposition überlassen hatte Israels Außenminister Schimon Peres noch am Vorabend der seit langem geplanten Friedensdemonstration 	erklärtkeywordtag 	und gut gelaunt hinzugefügt `` Natürlich gehen wir hin '' er und Ministerpräsident Yitzhak Rabin 
erklaeren_f1	Um 23.15 Uhr 	erklärtenkeywordtag 	die Ärzte offiziell den Tod 
erklaeren_f1	Er sei zwar Mitglied dieser Gruppe 	erklärtekeywordtag 	der Terrorist habe die Tat aber `` alleine geplant und durchgeführt '' 
erklaeren_f1	So wenig absehbar ist wie sich die Entwicklung im Nahen Osten in den kommenden Monaten gestaltet daß Rabin von einem Israeli ermordet wurde ist in weiten Teilen der arabischen Öffentlichkeit mit einer Erleichterung aufgenommen worden die man als abwegig bezeichnen müßte wenn siekeywordtag sich nicht vor dem Hintergrund geschichtlicher Erfahrung in der Region 	erklärenkeywordtag 	ließe 
erklaeren_f1	`` Man kann sich von dem nicht auf der Nase herumtanzen lassen '' hatte ÖVP-Kultursprecher Franz Morak 	erklärtkeywordtag 	
erklaeren_f1	Nach Verlusten 1994 erwartetkeywordtag Cap Gemini in diesem Jahr ein positives Ergebnis wiekeywordtag eine Sprecherin in Paris 	erklärtkeywordtag 	
erklaeren_f1	Beide Seiten 	erklärtenkeywordtag 	daß aufgrund der Markt- und Wettbewerbslage `` auch Personalabbaumaßnahmen notwendig sind '' 
erklaeren_f1	In Zagreb 	erklärtekeywordtag 	Präsident Franjo Tudjman notfalls werde Ostslawonien mit Gewalt zurückgeholt 
erklaeren_f1	Die Staatsanwaltschaft in Seoul 	erklärtekeywordtag 	sie wolle in der Schweiz nach Bankkonten von Familienmitgliedern Rohs fahnden und werde eine entsprechende Anfrage an die Behörden in Bern richten 
erklaeren_f1	Schewardnadsekeywordtag 	erklärtkeywordtag 	sichkeywordtag zum Wahlsieger 
erklaeren_f1	Der georgische Staatschef Eduard Schewardnadse hat sichkeywordtag am Montag zum Sieger der Präsidentenwahl in Georgien 	erklärtkeywordtag 	
erklaeren_f1	Dort hätten große Investoren den Dax verkauft um Bestände gegen den nachgebenden Dollar abzusichern 	erklärtekeywordtag 	ein Marktteilnehmer 
erklaeren_f1	Waigelkeywordtag 	erklärtekeywordtag 	über diese Frage werde man sich in den nächsten Wochen `` intensiv unterhalten '' 
erklaeren_f2	Er hatte beim Bundesgericht in Lagos beantragt das nigerianische Militärregime für illegal zu erklären 
erklaeren_f1	Sokeywordtag 	erklärenkeywordtag 	sich das `` sowohl als auch '' das `` ja und nein '' die sich durch das ganze Buch hindurchziehen und beim Leser zuweilen die Vorstellung wecken der Homo Oecologicus sei ein konturloses `` alles und nichts '' 
erklaeren_f1	Und wenn was nicht abwegig ist Sozialdemokraten ihre Europa-Skepsis bis zum nächsten Bundestagswahlkampf auf Touren halten dürfte alle Welt die Berliner Republik zur Hochburg des Deutsch-Nationalen 	erklärenkeywordtag 	
erklaeren_f1	Erst eine Stunde nach Schließung der Wahllokale 	erklärtekeywordtag 	die Spitzenkandidatin Ingrid Stahmer beleidigt 
erklaeren_f1	Sein Parteifreund der stellvertretende Fraktionsvorsitzende und Träger eines hohen DDR-Verdienstordens Fritz Niedergesäß CDU-Blockflöte seit 1958 	erklärtkeywordtag 	im Oktober 1995 
erklaeren_f1	Sieht man die punktuelle Zusammenarbeit zwischen CDU und PDS außerhalb Berlins so ist es nicht überraschend daß die Berliner CDU nach der Wahl 	erklärtkeywordtag 	hat in einzelnen Berliner Bezirken auch PDS-Bürgermeister wählen zu wollen 
erklaeren_f1	Der Attentäter 	erklärtekeywordtag 	dem Richter seine Landsleute seien sich nicht bewußt geworden daß durch Rabins Politik ein palästinensischer Staat geschaffen werde 
erklaeren_f1	Nach Rundfunkangaben 	erklärtekeywordtag 	erkeywordtag weiter `` Warum ist nun jeder schockiert über die Erschießung des Premierministers eines Mannes der vor aller Welt niederkniete 
erklaeren_f1	Die Firma die sich als Branchenführer in Deutschland bezeichnet 	erklärtkeywordtag 	ihren Erfolg unter anderem mit der engen Kooperation mit mehr als 300 Fachhändlern und der großen Fertigungstiefe 
erklaeren_f1	In einer offiziellen Verlautbarung 	erklärtekeywordtag 	erkeywordtag hingegen Polen ständen `` schwere Jahre viele Anstrengungen und Gefahren '' bevor 
erklaeren_f1	Führende Politiker der UW darunter ihr Gründer Tadeusz Mazowiecki der jetzige Vorsitzende und Wirtschaftsreformer Leszek Balcerowicz sowie der bekannte Historiker und UW-Fraktionschef Bronislaw Geremek hatten noch am Wahlabend 	erklärtkeywordtag 	daß die Partei in der zweiten Runde Lech Walesa unterstützen würde 
erklaeren_f1	Kuron derkeywordtag während des Wahlkampfes 	erklärtkeywordtag 	hatte er würde auf keinen Fall Walesa wählen sagte er werde sich dem Beschluß seiner Partei fügen 
erklaeren_f1	`` Ich würde Herrn Leister raten sich weniger mit der Gesetzgebung als vielmehr verstärkt mit den vielen Beschwerden von Bürgern über Pannen und Unzulänglichkeiten bei der Telekom zu beschäftigten '' 	erklärtekeywordtag 	Bötschkeywordtag gestern 
erklaeren_f2	Parallel dazu lösten 140 GGLF-Delegierte ihre Organisation auf und beauftragten gleichzeitig ihren geschäftsführenden Hauptvorstand den kollektiven Eintritt aller Mitglieder in die IG Bauen Agrar Umwelt zu erklären 
erklaeren_f1	Die bisherige Regelung hatten die Karlsruher Bundesverfassungsrichter für verfassungswidrig 	erklärtkeywordtag 	
erklaeren_f2	Die Synodale zeigte sich enttäuscht daß 50 Jahre nach dem Ende des Zweiten Weltkriegs der Bundestag keine Bereitschaft zeige die Urteile der Militärgerichte über diese Personen als `` Unrecht von Anfang an '' zu erklären wie dies bei Urteilen des Volksgerichtshofs geschehen sei 
erklaeren_f1	Sprecher Peter Schlelein 	erklärtekeywordtag 	mit der Vier-Tage-Woche könnten sich das zumindest die Angestellten einrichten 
erklaeren_f1	Entgegen der langfristigen Planung 	erklärtekeywordtag 	der Bundestag die Woche vom 20. bis zum 24. November zur Sitzungswoche 
erklaeren_f1	Eminkeywordtag 	erklärtekeywordtag 	von Bestechung könne keine Rede sein 
erklaeren_f1	`` Im Sinne der Anklage betrachte ich mich nicht für schuldig '' 	erklärtekeywordtag 	Krenzkeywordtag 
erklaeren_f1	Dieserkeywordtag hat im Fernsehen 	erklärtkeywordtag 	er hoffe `` daß der Nazi Arafat und sein Freund Peres auf dieselbe Weise sterben wie Rabin '' 
erklaeren_f1	`` Wenn es wegen der Koalition nicht möglich sein sollte die Senkung der Lohnnebenkosten schon zum 1. Januar 1996 vorzunehmen muß es spätestens zum 1. Januar 1997 zu einer spürbaren Entlastung bei den Sozialversicherungsbeiträgen kommen '' 	erklärtekeywordtag 	Lafontainekeywordtag am Dienstag in Bonn 
erklaeren_f1	Zuvor hatte Juppékeywordtag den Rücktritt der gesamten Regierung 	erklärtkeywordtag 	
erklaeren_f1	Der Bundestag wolle Änderungen offensichtlich im Eilverfahren und ohne Beteiligung der Behindertenverbände durchführen 	erklärtekeywordtag 	der BAGH-Vorsitzende Friedel Rinn am Dienstag in Düsseldorf 
erklaeren_f2	Tests haben ergeben daß sich Weiß davon am besten abhebt und von Autofahrern am ehesten gesehen wird '' 	erklärtkeywordtag 	Bruno Frangi von der Gruppe für Rüstungsdienste in Bern die Farbwahl 
erklaeren_f1	Ein Text den Du kennst 	erklärtkeywordtag 	diese angeborene Boshaftigkeit der Erben des Linksradikalismus 
erklaeren_f1	Da es sich durch Dein Verschulden um ein Buch über mich handelt möchte ichkeywordtag 	erklärenkeywordtag 	wie ich sehe was ich geschrieben habe 
erklaeren_f1	Ihr Verteidigungsexperte Jürgen Augustinowitz 	erklärtekeywordtag 	am Morgen in Bonn es sei völlig unerträglich und eine Schande für die deutsche Justiz daß das Verfassungsgericht nicht den Mut gefunden habe das erste `` empörende Fehlurteil zu korrigieren und die Soldaten der Bundeswehr vor Ehrabschneidung zu schützen '' 
erklaeren_f1	Verteidigungsminister Volker Rühe CDU 	erklärtekeywordtag 	die Verpflichtung zum Schutz der Ehre der Soldaten werde zwar anerkannt 
erklaeren_f1	Die beiden Mitangeklagten 	erklärtenkeywordtag 	sie seien bei der Tat dabeigewesen hätten das Mädchen aber nicht vergewaltigt 
erklaeren_f1	US-Verteidigungsminister William Perry hatte vergangene Woche in Tokio 	erklärtkeywordtag 	er sei bereit einzelne Truppenteile aus Okinawa abzuziehen und an andere japanische Orte zu verlegen insgesamt müsse es jedoch bei der Präsenz von 47 000 US-Soldaten in Japan bleiben 
erklaeren_f1	Sollte Peres jedoch scheitern dann könnte der Präsident einen zweiten Politiker mit der Regierungsbildung beauftragen 	erklärtekeywordtag 	Dromikeywordtag 
erklaeren_f1	Der Gesamtmetall-Vorstand 	erklärtekeywordtag 	sich bereitkeywordtag mit der IG Metall über das von Zwickel vorgeschlagene `` Bündnis für Arbeit '' zu reden 
erklaeren_f1	Was die Bundesverfassungsrichter entschieden haben ist auch für Andersdenkende nachvollziehbar und 	erklärtkeywordtag 	Bundeswehrsoldatenkeywordtag mitnichten zu Vogelfreien 
erklaeren_f1	`` Es kann keine Rede davon sein daß Washington sich Lubbers widersetzt '' 	erklärtekeywordtag 	tapfer das niederländische Außenministerium 
erklaeren_f1	Der Kaufmann 	erklärtekeywordtag 	erneut er habe das radioaktive Material von einem Schweizer Geschäftsmann als Stoff zur Metallveredelung erhalten 
erklaeren_f1	Der Stoff den er von dem Schweizer erhalten habe sei nicht identisch mit dem Gemisch das in seiner Garage gefunden worden sei 	erklärtekeywordtag 	erkeywordtag 
erklaeren_f1	Mehrere Befürworter der Oppositionsrolle 	erklärtenkeywordtag 	dagegen die SPD dürfe sich nicht wie die FDP in Bonn als Mehrheitsbeschaffer mißbrauchen lassen 
erklaeren_f1	Der Vorsitzende des SPD-Kreisverbandes Wedding Hans Nisble 	erklärtekeywordtag 	seinen Rücktritt aus dem Landesvorstand zum Ende des Parteitages und übte heftige Kritik an der Parteiführung und Spitzendkandidatin Stahmer 
erklaeren_f1	Bisher habe sich nur Bayern dagegen ausgesprochen 	erklärtekeywordtag 	siekeywordtag 
erklaeren_f1	SPD-Spitzenkandidatin Ingrid Stahmer 	erklärtekeywordtag 	die SPD könne eine aktive Politik nur innerhalb einer Regierung verwirklichen 
erklaeren_f1	Das ist eine Sache Deutschlands '' 	erklärtekeywordtag 	Turnoffkeywordtag 
erklaeren_f1	Weiter heißt es in dem Brief `` Beschämt und verwirrt voll Trauer und das Haupt bedeckt in Schande erbitten wirkeywordtag Vergebung von Frau Rabin ihrer Familie und dem ganzen israelischen Volk und 	erklärenkeywordtag 	daß wir Anstoß nehmen an jedweder Gewalt '' 
erklaeren_f1	Parallelisierungen wechseln mit erhellenden Konfrontationen ein Bild `` 	erklärtkeywordtag 	'' das andere besser 
erklaeren_f1	Ich glaube daß ichkeywordtag gerade hier auf deutschem Boden nicht allzu lange 	erklärenkeywordtag 	muß wie leicht ein Mensch einem solchen Dämon der Selbstdefinierung aufgrund seiner Stammeszugehörigkeit unterliegen kann und welches Unheil und welche Schrecken dies letzten Endes verursachen kann 
erklaeren_f5	Indem sie sich salonfähig präsentiere 	erklärtkeywordtag 	ein Mitarbeiter vom Fonds zur Erforschung der gesellschaftlichen Meinung die guten Umfrageergebnisse sei die KPRF heute auch für `` nichtkommunistische Unzufriedene '' wählbar 
erklaeren_f1	Wie 	erklärtkeywordtag 	es sich daß so viele Erwachsene ihren Mathematikunterricht als verschwendete Zeit ansehen und daß die Leistungsfähigkeit selbst bei den einfachsten arithmetischen Problemen oft genug erbärmlich ist 
erklaeren_f1	Ulmanis laut Verfassung nur für die Ernennung des Regierungsbildners zuständig 	erklärtekeywordtag 	jedoch öffentlich er werde niemals zustimmen daß `` der Extremist Siegerist '' einen Kabinettsposten erhalte 
erklaeren_f1	Weder der realitätsleere logische Positivismus von Oxford noch der heutige Sprachspiel-Dekonstruktivismus können ja 	erklärenkeywordtag 	warum wir uns überhaupt die Mühe der Theoriebildung machen 
erklaeren_f1	Sie richte sich nun an die Einzelstaaten 	erklärtkeywordtag 	der EBG 
erklaeren_f1	Vielekeywordtag befragtekeywordtag Jugendlichekeywordtag hätten selbst 	erklärtkeywordtag 	sie fühlten sich nicht reif genug 
erklaeren_f1	Zwar verhalte sich die Mehrheit der Gesellschaften ordnungsgemäß 	erklärtkeywordtag 	BAV-Sprecherin Elke Washausen-Richter 
erklaeren_f1	Daß sich das Landratsamt dazu entschieden hat die Verursacherin heranzuziehen sei nicht zu beanstanden 	erklärtenkeywordtag 	die Richter des 10. Senats 
erklaeren_f1	Zwei Geiseln seien nach Angaben der Entführer leicht erkrankt würden aber behandelt 	erklärtekeywordtag 	ein Behördensprecher 
erklaeren_f1	Siekeywordtag 	erklärtenkeywordtag 	unmittelbar nach dem Beschluß des zuständigen Bundesrichters William Turnoff am Mittwoch in Miami damit werde sich das Verfahren in den USA noch mehrere Monate lang hinziehen 
erklaeren_f1	Anschließend 	erklärtenkeywordtag 	siekeywordtag sie stimmten darin überein daß ihre gegensätzlichen Positionen nicht in Einklang zu bringen seien 
erklaeren_f1	Die Kirchen hätten ausdrücklich gefordert daß Leistungen für die sozial Schwachen wie Langzeitarbeitslose von Kürzungen ausgenommen bleiben müßten 	erklärtekeywordtag 	der Sozialwissenschaftler in einem vorab veröffentlichten Beitrag der am Sonntag erscheinenden nord- und ostdeutschen Kirchenzeitungen 
erklaeren_f1	Die Informationsquelle sei offenkundig im Ministerium zu suchen 	erklärtekeywordtag 	der Abgeordnete 
erklaeren_f1	Der Generalsekretär des Commonwealth der ehemalige nigerianische Außenminister Chief Emeka Anyaoku 	erklärtekeywordtag 	in einer schriftlichen Stellungnahme `` Ich wiederhole meine von Herzen kommende Bitte daß die nigerianische Regierung Gnade walten läßt '' 
erklaeren_f1	Unterdessen 	erklärtenkeywordtag 	Teilnehmer der Konferenz in den USA der Jugoslawien-Gipfel in Ohio stehe kurz vor einem erfolgreichen Abschluß 
erklaeren_f1	Weder sei die Übertragung von Immobilien auf Geldhäuser im Westen im Kaufpreis für einzelne DDR-Institute oder Aktien vernachlässigt worden noch hätten die Gläubigerbanken zweifache Zinsleistungen erhalten 	erklärtkeywordtag 	das Ressort in ersten Antworten auf 18 parlamentarische Fragen der Sozialdemokraten 
erklaeren_f1	Auch die britische Regierung hatte in der vergangenen Woche 	erklärtkeywordtag 	sie bleibe bei ihrem Einreiseverbot für Mun 
erklaeren_f1	Innenminister Michael Howard hatte dazukeywordtag 	erklärtkeywordtag 	der Sektenführer sei in Großbritannien unerwünscht da die von seiner `` Vereinigungskirche '' geforderte Trennung der meist jugendlichen Anhänger von ihren Familien großen Schaden anrichte 
erklaeren_f1	Der World Wide Fund For Nature WWF 	erklärtekeywordtag 	am Mittwoch in Genf den Elefanten in Asien drohe innerhalb von 50 Jahren das Aussterben wenn nicht etwas für ihren Schutz getan würde 
erklaeren_f1	Er verzichte auf eine Kandidatur für jegliches politische Amt da er nicht die Berufung für ein politisches Leben verspüre 	erklärtekeywordtag 	Powell er ist der erste Schwarze an der Spitze der US-Streitkräfte zur Begründung seiner Entscheidung am Mittwoch auf einer Pressekonferenz in Alexandria bei Washington 
erklaeren_f1	`` Dieser Sozialstaat läßt Hilfsbedürftige nicht im Stich '' 	erklärtekeywordtag 	Blümkeywordtag 
erklaeren_f1	Als die amerikanischen Gläubiger die Begleichung eines Kredits in Höhe von 297 Millionen Kronen verlangten mußte die Werft sichkeywordtag für zahlungsunfähig 	erklärenkeywordtag 	
erklaeren_f1	Damit werden jedoch weder die Beschwerdeführer freigesprochen noch Kränkungen einzelner Soldaten oder der Angehörigen bestimmter Streitkräfte durch Äußerungen wie `` Soldaten sind Mörder '' für zulässig 	erklärtkeywordtag 	
erklaeren_f1	Siekeywordtag muß dann jedesmal mühsam 	erklärenkeywordtag 	daß die EU nicht die Kompetenzen habe die man ihr allgemein zutraue das Parlament schon gar nicht 
erklaeren_f1	Die Pressestelle der Heidelberger Polizei 	erklärtekeywordtag 	Deckert sei gegenüber den Beamten `` in der für ihn typischen Art ausfallend geworden '' 
erklaeren_f1	Dieserkeywordtag 	erklärtekeywordtag 	das Formular sei `` mißverständlich formuliert '' gewesen 
erklaeren_f1	Kwasniewskikeywordtag hatte zunächst 	erklärtkeywordtag 	er könne sich nicht erinnern ob er die Aktien angegeben habe 
erklaeren_f1	Erkeywordtag 	erklärtekeywordtag 	zur Überraschung seiner Landsleute daß er und seine Familie seit fünf Jahren von einer Million Dollar leben die er für Filmrechte kassierte 
